time,frame,track_id,class,x1,y1,x2,y2
1776295945.4073098,4,1,2,425,232,529,355
1776295945.408283,4,2,2,431,154,509,237
1776295945.408283,4,3,2,865,54,927,98
1776295945.408283,4,4,2,416,56,472,96
1776295945.408283,4,5,2,914,5,960,33
1776295945.408283,4,6,2,448,0,522,15
1776295945.408283,4,7,2,414,19,471,59
1776295945.408283,4,8,3,909,118,939,156
1776295945.4092603,4,9,3,318,101,362,128
1776295945.520231,5,1,2,425,232,529,355
1776295945.520231,5,2,2,431,154,509,237
1776295945.520231,5,3,2,865,53,927,97
1776295945.520231,5,4,2,416,56,472,96
1776295945.520231,5,5,2,914,5,960,33
1776295945.5212038,5,6,2,449,0,523,15
1776295945.5212038,5,7,2,415,19,472,59
1776295945.5212038,5,8,3,908,119,937,155
1776295945.5212038,5,9,3,317,101,361,129
1776295945.805263,6,1,2,425,232,529,355
1776295945.805263,6,2,2,430,154,509,237
1776295945.805263,6,3,2,866,53,929,97
1776295945.805263,6,4,2,416,56,473,96
1776295945.805263,6,5,2,914,5,959,33
1776295945.805263,6,6,2,450,0,521,14
1776295945.805263,6,7,2,415,19,471,58
1776295945.805263,6,8,3,905,112,935,150
1776295945.805263,6,9,3,313,102,354,128
1776295945.9306564,7,1,2,425,232,529,355
1776295945.9306564,7,2,2,430,154,509,237
1776295945.9306564,7,3,2,866,52,929,97
1776295945.9306564,7,4,2,416,56,473,96
1776295945.9306564,7,5,2,914,5,959,33
1776295945.9306564,7,6,2,451,0,521,14
1776295945.9306564,7,7,2,416,19,471,58
1776295945.9306564,7,8,3,904,110,935,148
1776295945.9306564,7,9,3,312,102,352,128
1776295946.2052076,8,1,2,425,232,529,355
1776295946.2052076,8,2,2,430,154,509,237
1776295946.2052076,8,3,2,867,52,929,96
1776295946.2052076,8,4,2,416,56,473,96
1776295946.2052076,8,5,2,913,5,959,33
1776295946.2052076,8,6,2,452,0,521,13
1776295946.2052076,8,7,2,414,19,471,58
1776295946.2052076,8,8,3,901,105,933,144
1776295946.2052076,8,9,3,307,103,348,128
1776295946.2976081,9,1,2,425,232,529,355
1776295946.2976081,9,2,2,431,154,509,237
1776295946.2976081,9,3,2,867,51,929,96
1776295946.2976081,9,4,2,416,56,473,96
1776295946.2976081,9,5,2,912,5,960,33
1776295946.2976081,9,7,2,414,19,471,58
1776295946.2976081,9,8,3,900,103,933,143
1776295946.2976081,9,9,3,305,103,346,128
