frame,letterbox_resize_pad_ms,transpose_contiguous_ms,torch_from_numpy_ms,to_device_normalize_ms,total_phase_ms,shape,dtype,device
0,3.925900001078844,0.7882000003010035,1.2100999988615513,30.271600000560284,538.26070000045,"(1, 3, 640, 640)",torch.float16,cuda:0
1,0.7798000015318394,0.6952999979257584,0.06690000183880329,0.6355000007897615,2.2609999999403954,"(1, 3, 640, 640)",torch.float16,cuda:0
2,0.6617999989539385,0.678999999538064,0.04580000042915344,0.5637999996542931,2.003100000321865,"(1, 3, 640, 640)",torch.float16,cuda:0
3,0.7385999988764524,0.6988999992609024,0.06460000202059746,0.616100000217557,2.196400001645088,"(1, 3, 640, 640)",torch.float16,cuda:0
4,0.6905000004917383,0.7029999997466803,0.052799999713897705,0.5562999993562698,2.0592000000178814,"(1, 3, 640, 640)",torch.float16,cuda:0
5,0.6567999999970198,0.7010999992489815,0.06439999863505363,0.6251999996602535,2.121799999848008,"(1, 3, 640, 640)",torch.float16,cuda:0
6,0.6305000018328428,0.69200000166893,0.04350000061094761,0.5359000004827976,1.9429999999701977,"(1, 3, 640, 640)",torch.float16,cuda:0
7,0.6705000009387732,0.6494999993592501,0.06030000001192093,0.5802999995648861,2.027599999681115,"(1, 3, 640, 640)",torch.float16,cuda:0
8,0.6295999996364117,0.6543000005185604,0.049800001084804535,0.5401999987661839,1.920899998396635,"(1, 3, 640, 640)",torch.float16,cuda:0
9,0.6894000004976988,0.6889999974519014,0.06479999981820583,0.5921000018715858,2.1097999997437,"(1, 3, 640, 640)",torch.float16,cuda:0
10,0.6735999993979931,0.6743999999016523,0.044599998742341995,0.5345999989658594,1.9692999999970198,"(1, 3, 640, 640)",torch.float16,cuda:0
11,0.8271000012755394,0.6722999978810549,0.06019999831914902,0.5697000008076429,2.194099999964237,"(1, 3, 640, 640)",torch.float16,cuda:0
12,0.6855000015348196,0.6722999997437,0.04090000130236149,0.5173000004142523,1.9547999985516071,"(1, 3, 640, 640)",torch.float16,cuda:0
13,0.6744999997317791,0.6557000000029802,0.06809999980032444,0.6755999997258186,2.164199998602271,"(1, 3, 640, 640)",torch.float16,cuda:0
14,0.6701999995857477,0.6572999991476536,0.06270000152289867,0.6917000003159046,2.1514999996870756,"(1, 3, 640, 640)",torch.float16,cuda:0
15,0.625399999320507,0.6095000002533197,0.041199998930096626,0.5368999987840652,1.8518000021576881,"(1, 3, 640, 640)",torch.float16,cuda:0
16,0.7176999989897013,0.6525999996811152,0.06399999931454659,0.6560999974608421,2.1610000003129244,"(1, 3, 640, 640)",torch.float16,cuda:0
17,0.6554000023752451,0.6651999987661839,0.04840000160038471,0.7235000021755695,2.1376999989151955,"(1, 3, 640, 640)",torch.float16,cuda:0
18,0.8445000015199184,0.7227000016719103,0.07189999893307686,0.7510999999940395,2.474499998614192,"(1, 3, 640, 640)",torch.float16,cuda:0
19,0.7150999996811152,0.7228999976068735,0.05809999816119671,0.6253000013530254,2.181800000369549,"(1, 3, 640, 640)",torch.float16,cuda:0
20,0.7850000001490116,0.6912000011652708,0.07580000162124634,0.6709000002592802,2.3082999996840954,"(1, 3, 640, 640)",torch.float16,cuda:0
21,0.6656999997794628,0.7031000014394522,0.052799999713897705,0.5971000008285046,2.068800000473857,"(1, 3, 640, 640)",torch.float16,cuda:0
22,0.7949999999254942,0.6904999986290932,0.07429999858140945,0.6782000008970499,2.320799997076392,"(1, 3, 640, 640)",torch.float16,cuda:0
23,0.7184999994933605,0.7033999990671873,0.061000000685453415,0.6033999994397163,2.1502000000327826,"(1, 3, 640, 640)",torch.float16,cuda:0
24,0.6559999976307154,0.8372000008821487,0.06599999964237213,0.6233999989926815,2.2625999990850687,"(1, 3, 640, 640)",torch.float16,cuda:0
25,0.5929000005126,0.6662999987602234,0.04609999991953373,0.562899999320507,1.914199998602271,"(1, 3, 640, 640)",torch.float16,cuda:0
26,0.6831999998539686,0.6430000010877848,0.06120000034570694,0.571900000795722,2.028599999845028,"(1, 3, 640, 640)",torch.float16,cuda:0
27,0.655799999833107,0.6483000013977289,0.04320000112056732,0.5315000023692846,1.9214000012725592,"(1, 3, 640, 640)",torch.float16,cuda:0
28,0.8768999986350536,0.8372999988496304,0.08429999835789204,0.6909999996423721,2.6140000000596046,"(1, 3, 640, 640)",torch.float16,cuda:0
29,0.7306999992579222,0.7369999997317791,0.06970000080764294,0.650000000372529,2.263799998909235,"(1, 3, 640, 640)",torch.float16,cuda:0
30,1.0398999992758036,0.7906000018119812,0.0654000025242567,0.6622999999672174,2.6400000005960464,"(1, 3, 640, 640)",torch.float16,cuda:0
31,0.8586999997496605,0.811099998652935,0.0738999992609024,0.6374999992549419,2.4751999992877245,"(1, 3, 640, 640)",torch.float16,cuda:0
