time,cpu_percent,ram_percent,ram_used_mb,gpu_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c
1780998343.6985297,0.0,66.4,10710.5,,,,
1780998344.7854314,10.0,70.3,11328.7,3.0,116.0,4096.0,69.0
1780998345.3211906,16.0,70.6,11384.8,15.0,116.0,4096.0,70.0
1780998345.854212,17.5,70.5,11367.8,17.0,116.0,4096.0,70.0
1780998346.3866224,18.7,70.6,11377.3,14.0,116.0,4096.0,70.0
1780998346.9200127,16.6,70.5,11370.8,11.0,116.0,4096.0,70.0
1780998347.4549782,22.1,70.5,11371.7,16.0,116.0,4096.0,70.0
1780998347.988566,14.5,70.5,11371.5,17.0,116.0,4096.0,70.0
1780998348.5217993,18.4,70.1,11303.6,12.0,116.0,4096.0,70.0
1780998349.0594409,14.4,70.1,11309.5,14.0,116.0,4096.0,70.0
1780998349.5937974,22.1,69.9,11273.6,9.0,116.0,4096.0,70.0
1780998350.1349742,20.8,70.0,11293.7,13.0,116.0,4096.0,70.0
1780998350.6679094,21.6,69.9,11276.4,14.0,116.0,4096.0,70.0
1780998351.199843,18.6,70.0,11281.7,15.0,116.0,4096.0,70.0
1780998351.7325559,15.9,70.0,11278.2,14.0,116.0,4096.0,70.0
1780998352.2832232,23.3,70.1,11294.2,17.0,116.0,4096.0,70.0
1780998352.8168075,18.9,70.0,11283.4,14.0,116.0,4096.0,70.0
1780998353.3491125,16.6,70.1,11294.5,12.0,116.0,4096.0,70.0
1780998353.8840365,16.2,70.0,11284.3,11.0,116.0,4096.0,70.0
1780998354.416455,19.7,70.1,11295.5,13.0,116.0,4096.0,71.0
1780998354.948867,16.7,70.0,11286.0,16.0,116.0,4096.0,71.0
