epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1421,1.46,1.96102,1.17006,0.72297,0.49533,0.5335,0.34272,1.31243,1.27037,1.12068,0.000368892,0.000368892,0.000368892
2,74.9077,1.33151,1.28446,1.11574,0.75727,0.55641,0.58464,0.37611,1.29173,1.10931,1.11915,0.000724589,0.000724589,0.000724589
3,110.657,1.29873,1.17692,1.10579,0.81236,0.58012,0.64796,0.42651,1.23071,0.97066,1.09577,0.00106562,0.00106562,0.00106562
4,148.344,1.26696,1.08475,1.09017,0.6526,0.64116,0.65021,0.43139,1.24974,0.93701,1.10239,0.00104501,0.00104501,0.00104501
5,186.337,1.24644,1.03048,1.08664,0.65357,0.64105,0.64431,0.4448,1.17396,0.89184,1.07902,0.00102301,0.00102301,0.00102301
6,225.33,1.23057,0.97653,1.07045,0.7116,0.67879,0.72999,0.51216,1.14126,0.82538,1.05687,0.00100101,0.00100101,0.00100101
7,264.493,1.20022,0.92913,1.05779,0.68931,0.6544,0.70125,0.48062,1.18937,0.85632,1.07959,0.000979013,0.000979013,0.000979013
8,303.122,1.17975,0.88987,1.05248,0.70692,0.69206,0.73415,0.52083,1.11048,0.77396,1.03475,0.000957015,0.000957015,0.000957015
9,341.163,1.17469,0.88023,1.04693,0.69985,0.73081,0.74439,0.51779,1.09656,0.75789,1.04053,0.000935018,0.000935018,0.000935018
10,379.03,1.17114,0.85022,1.04722,0.68237,0.70382,0.73742,0.52782,1.09829,0.77257,1.04064,0.00091302,0.00091302,0.00091302
11,417.014,1.15423,0.83751,1.04459,0.7265,0.73656,0.7428,0.52207,1.1212,0.74319,1.039,0.000891022,0.000891022,0.000891022
12,455.368,1.14595,0.82486,1.03653,0.72892,0.7533,0.76124,0.54906,1.07923,0.71438,1.0272,0.000869024,0.000869024,0.000869024
13,496.099,1.13356,0.81197,1.03697,0.74028,0.70889,0.74833,0.54678,1.06284,0.72516,1.02205,0.000847026,0.000847026,0.000847026
14,546.483,1.11718,0.80231,1.03008,0.77156,0.74943,0.77104,0.55731,1.08501,0.70753,1.02139,0.000825029,0.000825029,0.000825029
15,594.506,1.11425,0.78534,1.02429,0.7426,0.71479,0.78735,0.55708,1.09883,0.72855,1.03495,0.000803031,0.000803031,0.000803031
16,641.12,1.12149,0.78387,1.02707,0.76232,0.76415,0.7987,0.57466,1.07211,0.70148,1.02352,0.000781033,0.000781033,0.000781033
17,687.322,1.09037,0.77101,1.02215,0.75795,0.77522,0.80277,0.58021,1.0622,0.70944,1.02386,0.000759035,0.000759035,0.000759035
18,732.962,1.09922,0.75644,1.01469,0.79998,0.72129,0.78068,0.56799,1.06877,0.68412,1.02508,0.000737037,0.000737037,0.000737037
19,779.216,1.09077,0.75357,1.01355,0.80832,0.73838,0.80825,0.58207,1.05222,0.68808,1.01448,0.00071504,0.00071504,0.00071504
